From_node,To_node
422437_17_166237_348,TIEPOINT_31007102024
31007102513,31007102512
420532_809_163855_896,31108302054
31109102014_37293748,31109102516
31109102523,31109102011
31108302028,420713_883_163803_97
30908202509,421422_768_167911_411
31108202020,31108202021
31108202022,31108202020
31108302501,TIEPOINT_31108302005
31109102512,31109102010
31007302069,31007302044_5445897
422537_995_167276_625,422534_845_167320_578
31109402502,420122_41_164001_156
31007102010,31007102011
422529_227_166443_654,422695_478_166451_568
422459_418_166376_291,31007102510
SOURCE_7732-1,31109103502
420952_804_164009_2,420947_884_164038_939
30908202509,421518_838_167915_891
31109103066,5517698-1
31109102002,419208_115_164934_839
31007102014,422411_83_166213_296
420571_826_163845_007,420588_003_163840_498
421861_122_165564_535,421873_837_165592_213
420930_291_163925_214,420954_187_163976_899
422549_348_167023_21,30907302506
419661_63_164388_544,419637_366_164342_857
31109202012,420177_331_164531_389
31109102509,419329_348_164703_337
421892_563_165633_895,31007302069
30907302506,422542_318_167185_05
421282_182_164549_5,31108202503
422533_887_167353_436,30907302000_15050083
30908202512,421615_793_167881_186
420205_399_163967_73,420263_025_163947_562
422278_191_166039_735,31007102013
31007102513,422183_827_165973_859
421711_098_165180_565,421730_805_165211_926
31108202503,421258_627_164693_867
31109202505,419528_434_164522_652
420821_527_164159_055,420722_35_164233_84
420928_664_163724_052,TIEPOINT_31108302064
422429_242_167110_902,422316_405_167134_561
30907102019,422279_962_167707_63
31108102506,420955_644_164306_948
421547_552_167747_67,30908202508
420713_883_163803_97,420755_065_163792_089
31007102018,31007102019
421600_142_167854_055,30908202507
30808402002,421221_001_168397_668
420918_277_164087_374,420871_68_164120_888
419215_451_164903_662,31109102006
421816_696_165439_965,421831_532_165481_969
420947_884_164038_939,31108302507
421078_884_164447_488,31108102005
422118_989_167736_929,30907102505
419329_348_164703_337,31109102014_37293748
30808402501,30808402001
422475_023_167511_353,30907102506
419950_58_164400_26,419973_63_164446_5
31109103066,31109103032_5517430
421217_53_164740_16,421199_111_164774_969
31109202008,31109202503
421615_793_167881_186,421600_142_167854_055
420397_599_163890_626,420413_611_163883_34
420588_003_163840_498,420632_644_163827_848
420866_498_163825_132,31108302004
31108202502,421176_373_164390_132
422279_962_167707_63,422236_429_167701_623
419570_571_164471_8,31109202101_5445652
31109202006,419950_58_164400_26
31109202505,419464_822_164413_811
30908202509,421477_302_167843_507
31109202013,31109202014
421160_11_164362_335,31108202019
30908202507,421565_769_167784_799
30908202531_15050139,30908202061
31109202009,31109402003
31108302505,31108302513_5446149
31007102509,31007102501
31109102006,419216_849_164897_781
30907102002,30907102001
31109102011,419373_719_164762_838
419399_71_164703_621,419415_531_164667_469
30908202507,421538_642_167846_227
420413_611_163883_34,31108302501
30808402001,30808402043
