Bus_ID,Longitude,Latitude
31214300009-xfo,-76.87045301563502,39.131104101057836
412536_51_162183_261,-76.85501610818302,39.1276258255144
411307_518_162629_345,-76.86922211819787,39.13166082945046
411471_209_162200_846,-76.8673361120215,39.12779882242872
31314200004-xfo,-76.86579244966337,39.12062449036282
411205_161697_018-1,-76.87045911955214,39.12324449159049
412512_79_162037_018,-76.85529311297063,39.12630882045843
411463_636_162294_864_sec_0,-76.86742211554302,39.12864582730806
411410_848_161787_011-1,-76.8680027802774,39.124068154180385
410519_935_162628_033,-76.87833112324138,39.13165882035788
412522_382_161986_078,-76.85518311726605,39.1258498203056
31214102008,-76.87304012097384,39.133698826144325
31213302071,-76.85356211419014,39.126521825019026
411258_485_162453_873_sec_0,-76.8697921159904,39.130080825638544
31213302072,-76.85358311690233,39.12651582494956
411373_871_162424_398,-76.86845811189798,39.12981382748416
31214102015,-76.86921012271236,39.13174982334275
31213302014,-76.85304610648265,39.12660182721508
31213302017_leg2,-76.85602711007265,39.12906382783051
410825_991_162516_99_sec_0,-76.87479311906674,39.13065482770666
412286_871_161799_65,-76.85791010990536,39.124173826117804
411612_034_161574_381,-76.86571811181328,39.1221538222824
410814_995_162464_798,-76.87492112125344,39.13018482279998
410475_444_162730_44,-76.87884412292998,39.132581825772235
411114_436_162453_336,-76.87145812166335,39.1300778273064
31314202003,-76.86421712076172,39.120900826177525
31213300015-xfo,-76.85526777308203,39.12622093013727
31214300024-xfo,-76.87065511721438,39.12749263107844
31213302039,-76.85830611160405,39.1263808269782
31215202102,-76.87728311676725,39.13568482494197
411996_666_161861_038,-76.86126511399208,39.12473082500777
411351_296_162308_911_sec_0,-76.8687211225257,39.128773823846956
31114303147,-81.51795945884601,37.58982634126801
412459_259_161439_015,-76.85592310690896,39.120922820244076
tiepoint_31213302510,-76.85211211301035,39.126516824565435
31314200037-xfo,-76.86052448618875,39.1227075573368
411194_128_162168_143,-76.87054112235504,39.12750781996504
411900_644_161772_748_sec_0,-76.8623771107852,39.12393682507502
31214100028-xfo,-76.87293075440307,39.13657650798454
31214400012-xfo,-76.86718101235155,39.129336842962594
31214400016-xfo,-76.86223700785169,39.125224320875816
410832_008_162920_866-1,-76.87477956123536,39.13421700522281
31214100035-xfo,-76.8709727854909,39.13580949338533
31214400009-xfo,-76.86698440624258,39.126980964046496
31214300025-xfo,-76.8695440745535,39.12721482319311
31213302018_leg4-1,-76.855898614231,39.12903482202567
411130_661_162658_956,-76.87126711815239,39.131929826854694
412452_555_162344_32,-76.85598411644918,39.12907782738157
411479_261_162668_78,-76.86723511933727,39.13201382304122
411796_744_161456_87,-76.86358411966064,39.12109282508996
